spreadsheet	n	bảng tính	Công nghệ
troubleshoot	v	khắc phục sự cố	Công nghệ
upload	v	tải lên	Công nghệ
user interface	n	giao diện người dùng	Công nghệ
virtual meeting	n	cuộc họp trực tuyến	Công nghệ
wireless	adj	không dây	Công nghệ
agenda item	n	mục chương trình họp	Văn phòng
briefing note	n	bản ghi chú tóm tắt	Văn phòng
conference call	n	cuộc gọi hội nghị	Văn phòng
correspondence	n	thư từ trao đổi	Văn phòng
deadline extension	n	gia hạn thời hạn	Văn phòng
documentary evidence	n	bằng chứng tài liệu	Văn phòng
filing system	n	hệ thống lưu trữ hồ sơ	Văn phòng
follow-up	n	việc theo dõi tiếp	Văn phòng
front desk	n	quầy lễ tân	Văn phòng
inquiry	n	yêu cầu hỏi thông tin	Văn phòng
minutes	n	biên bản cuộc họp	Văn phòng
notice board	n	bảng thông báo	Văn phòng
office supplies	n	văn phòng phẩm	Văn phòng
project brief	n	bản tóm tắt dự án	Văn phòng
proposal	n	đề xuất	Văn phòng
record keeping	n	việc lưu trữ hồ sơ	Văn phòng
reminder	n	lời nhắc	Văn phòng
reporting line	n	cấp báo cáo	Văn phòng
receptionist	n	nhân viên lễ tân	Văn phòng
room booking	n	đặt phòng họp	Văn phòng
status update	n	cập nhật trạng thái	Văn phòng
task list	n	danh sách công việc	Văn phòng
team meeting	n	cuộc họp nhóm	Văn phòng
timeline	n	dòng thời gian	Văn phòng
videoconference	n	hội nghị truyền hình	Văn phòng
workstation	n	trạm làm việc	Văn phòng
carry out	v	thực hiện	Cụm động từ
call off	v	hủy; hủy bỏ	Cụm động từ
come across	v	bắt gặp; tình cờ gặp	Cụm động từ
draw up	v	soạn thảo	Cụm động từ
figure out	v	tìm ra; hiểu ra	Cụm động từ
fill in	v	điền vào	Cụm động từ
follow up	v	theo dõi tiếp	Cụm động từ
hand in	v	nộp	Cụm động từ
look into	v	điều tra; xem xét	Cụm động từ
make up	v	bù đắp; cấu thành	Cụm động từ
put off	v	hoãn lại	Cụm động từ
run out of	v	hết	Cụm động từ
set up	v	thiết lập	Cụm động từ
take over	v	tiếp quản	Cụm động từ
turn down	v	từ chối	Cụm động từ
be responsible for	adj	chịu trách nhiệm về	Cụm từ
be scheduled to	adj	được lên lịch để	Cụm từ
be subject to	adj	phụ thuộc vào; chịu sự	Cụm từ
in advance	adv	trước; trước thời hạn	Cụm từ
in charge of	adj	phụ trách	Cụm từ
in accordance with	prep	phù hợp với	Cụm từ
on behalf of	prep	thay mặt cho	Cụm từ
on time	adv	đúng giờ	Cụm từ
prior to	prep	trước khi	Cụm từ
regardless of	prep	bất kể	Cụm từ
sign a contract	v	ký hợp đồng	Cụm từ
meet a deadline	v	đáp ứng thời hạn	Cụm từ
